"Library"	"Number of spectra"	"Substance class"	"Number of positive spectra"	"Method"	"Parameters"	"AlgorithmName"	"AUC"	"TPR for FPR = 5%"	"Sn for Max sum Sn+Sp"	"Sp for Max sum Sn+Sp"	"TNR for FNR = 5%"	"time (s)"	"AUCs"
"2018-02-13_09:14:10_neg_11328_MoNA-export-LC-MS-MS_Spectra.msp"	"1457"	"Organic compounds; Alkaloids and derivatives"	"19"	"ColSumsPos"	"smoothIntensities=FALSE"	"method=ColSumsPos; smoothIntensities=FALSE"	"0.903325599381284"	"0.5"	"1"	"0.873549883990719"	"0"	"0.05143141746521"	"0.850348027842227, 0.938128383604022, 0.90061871616396, 0.911639597834494, 0.906032482598608, 0.82153905645785, 0.965197215777262, 0.833139984532096, 0.940061871616396, 0.855761794276875"
"2018-02-13_09:14:10_neg_11328_MoNA-export-LC-MS-MS_Spectra.msp"	"1457"	"Organic compounds; Benzenoids"	"657"	"ColSumsPos"	"smoothIntensities=FALSE"	"method=ColSumsPos; smoothIntensities=FALSE"	"0.854573815566836"	"0.464467005076142"	"0.83756345177665"	"0.7125"	"0.4875"	"0.0448983907699585"	"0.864964043993232, 0.854261844331641, 0.842301184433164, 0.859739847715736, 0.854885786802031, 0.84845600676819, 0.838599830795262, 0.868570219966159, 0.842639593908629, 0.890016920473773"
"2018-02-13_09:14:10_neg_11328_MoNA-export-LC-MS-MS_Spectra.msp"	"1457"	"Organic compounds; Benzenoids; Anthracenes"	"16"	"ColSumsPos"	"smoothIntensities=FALSE"	"method=ColSumsPos; smoothIntensities=FALSE"	"0.935648148148148"	"0.6"	"1"	"0.893518518518518"	"0"	"0.0432219505310059"	"0.939351851851852, 0.878703703703704, 0.955092592592593, 0.972222222222222, 0.931944444444444, 0.986111111111111, 0.930092592592593, 0.959722222222222, 0.875462962962963, 0.929629629629629"
"2018-02-13_09:14:10_neg_11328_MoNA-export-LC-MS-MS_Spectra.msp"	"1457"	"Organic compounds; Benzenoids; Anthracenes; Anthraquinones"	"10"	"ColSumsPos"	"smoothIntensities=FALSE"	"method=ColSumsPos; smoothIntensities=FALSE"	"0.985407066052227"	"1"	"1"	"0.981566820276498"	"0"	"0.0413258075714111"	"0.980798771121352, 0.987711213517665, 0.986175115207373, 0.970046082949309, 0.984639016897081, 0.960061443932412, 0.99615975422427, 0.983870967741935, 0.993087557603687, 0.986943164362519"
"2018-02-13_09:14:10_neg_11328_MoNA-export-LC-MS-MS_Spectra.msp"	"1457"	"Organic compounds; Benzenoids; Benzene and substituted derivatives"	"530"	"ColSumsPos"	"smoothIntensities=FALSE"	"method=ColSumsPos; smoothIntensities=FALSE"	"0.808656848106421"	"0.386792452830189"	"0.776729559748428"	"0.748201438848921"	"0.357913669064748"	"0.0430115461349487"	"0.831896746753541, 0.808300529387811, 0.803798470657437, 0.806060811727976, 0.803176326863038, 0.848264784398896, 0.842213022035202, 0.798708203248722, 0.827507805076693, 0.809013166825031"
"2018-02-13_09:14:10_neg_11328_MoNA-export-LC-MS-MS_Spectra.msp"	"1457"	"Organic compounds; Benzenoids; Benzene and substituted derivatives; Anilides"	"33"	"ColSumsPos"	"smoothIntensities=FALSE"	"method=ColSumsPos; smoothIntensities=FALSE"	"0.793969555035129"	"0.4"	"0.7"	"0.888758782201405"	"0"	"0.0421676635742188"	"0.691569086651054, 0.815105386416862, 0.671428571428571, 0.802810304449649, 0.71288056206089, 0.800702576112412, 0.765456674473068, 0.811592505854801, 0.933372365339579, 0.787236533957845"
"2018-02-13_09:14:10_neg_11328_MoNA-export-LC-MS-MS_Spectra.msp"	"1457"	"Organic compounds; Benzenoids; Benzene and substituted derivatives; Aniline and substituted anilines"	"33"	"ColSumsPos"	"smoothIntensities=FALSE"	"method=ColSumsPos; smoothIntensities=FALSE"	"0.90403981264637"	"0.6"	"0.85"	"0.825526932084309"	"0"	"0.0436880588531494"	"0.884543325526933, 0.908196721311475, 0.913583138173302, 0.899882903981265, 0.929508196721311, 0.933255269320843, 0.92248243559719, 0.866276346604216, 0.87224824355972, 0.821779859484778"
"2018-02-13_09:14:10_neg_11328_MoNA-export-LC-MS-MS_Spectra.msp"	"1457"	"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonamides"	"34"	"ColSumsPos"	"smoothIntensities=FALSE"	"method=ColSumsPos; smoothIntensities=FALSE"	"0.895374707259954"	"0.7"	"0.85"	"0.920374707259953"	"0"	"0.0552551746368408"	"0.947072599531616, 0.887939110070258, 0.958782201405152, 0.902810304449649, 0.820023419203747, 0.947306791569087, 0.878337236533958, 0.984894613583138, 0.777634660421546, 0.786533957845434"
"2018-02-13_09:14:10_neg_11328_MoNA-export-LC-MS-MS_Spectra.msp"	"1457"	"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonamides; Aminobenzenesulfonamides"	"10"	"ColSumsPos"	"smoothIntensities=FALSE"	"method=ColSumsPos; smoothIntensities=FALSE"	"0.960637480798771"	"0.666666666666667"	"1"	"0.883640552995392"	"0"	"0.0585898160934448"	"0.907066052227342, 0.995391705069125, 0.947772657450077, 0.94815668202765, 0.995391705069124, 0.93010752688172, 0.973118279569892, 0.98310291858679, 0.929339477726574, 0.995391705069125"
"2018-02-13_09:14:10_neg_11328_MoNA-export-LC-MS-MS_Spectra.msp"	"1457"	"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonic acids and derivatives"	"15"	"ColSumsPos"	"smoothIntensities=FALSE"	"method=ColSumsPos; smoothIntensities=FALSE"	"0.825173210161663"	"0.6"	"0.8"	"0.92378752886836"	"0"	"0.0421741008758545"	"0.845958429561201, 0.80392609699769, 0.86743648960739, 0.862817551963049, 0.693995381062356, 0.819168591224018, 0.706697459584296, 0.810854503464203, 0.83810623556582, 0.831177829099307"
